code_region,TIME_PERIOD,nb_creations
11,2015,145628
11,2016,165621
11,2017,184150
11,2018,215995
11,2019,246394
11,2020,255208
11,2021,281623
11,2022,288872
11,2023,295726
11,2024,312543
24,2015,16054
24,2016,16564
24,2017,17551
24,2018,20074
24,2019,23057
24,2020,24540
24,2021,29780
24,2022,29798
24,2023,29560
24,2024,31211
27,2015,17750
27,2016,18393
27,2017,19814
27,2018,21893
27,2019,25259
27,2020,27278
27,2021,31472
27,2022,30749
27,2023,31209
27,2024,33291
28,2015,19208
28,2016,20256
28,2017,21810
28,2018,25178
28,2019,29058
28,2020,31399
28,2021,36531
28,2022,35492
28,2023,35648
28,2024,37356
32,2015,34616
32,2016,36383
32,2017,39252
32,2018,44867
32,2019,53518
32,2020,56596
32,2021,67335
32,2022,65908
32,2023,64870
32,2024,69913
44,2015,33719
44,2016,35938
44,2017,38647
44,2018,42882
44,2019,49283
44,2020,53161
44,2021,64737
44,2022,63710
44,2023,62922
44,2024,67017
52,2015,24899
52,2016,25824
52,2017,28456
52,2018,30670
52,2019,36367
52,2020,38059
52,2021,46328
52,2022,46574
52,2023,44898
52,2024,47203
53,2015,21567
53,2016,22198
53,2017,23721
53,2018,26677
53,2019,30400
53,2020,30802
53,2021,38190
53,2022,39099
53,2023,38586
53,2024,41653
75,2015,49859
75,2016,51486
75,2017,56868
75,2018,64240
75,2019,73115
75,2020,74892
75,2021,89009
75,2022,89040
75,2023,87108
75,2024,92144
76,2015,54742
76,2016,57424
76,2017,60894
76,2018,67998
76,2019,79877
76,2020,82537
76,2021,97716
76,2022,96354
76,2023,96395
76,2024,102485
84,2015,67388
84,2016,71238
84,2017,78731
84,2018,89087
84,2019,106250
84,2020,109905
84,2021,124197
84,2022,125673
84,2023,120822
84,2024,130063
93,2015,57654
93,2016,59961
93,2017,63994
93,2018,73635
93,2019,84099
93,2020,86574
93,2021,106869
93,2022,110475
93,2023,103147
93,2024,106186
94,2015,3796
94,2016,4017
94,2017,4279
94,2018,4610
94,2019,5225
94,2020,4945
94,2021,5814
94,2022,6087
94,2023,6189
94,2024,6522
