TIME_PERIOD,region_nom,population
2014,Auvergne-Rhône-Alpes,7820966.317176
2014,Bourgogne-Franche-Comté,2820623.365883
2014,Bretagne,3276543.357957
2014,Centre-Val de Loire,2577435.361162
2014,Corse,324212.364941
2014,Grand Est,5554645.303963
2014,Guadeloupe,400186.277804
2014,Guyane,252338.087772
2014,Hauts-de-France,6006156.27401
2014,La Réunion,842767.167069
2014,Martinique,383911.305091
2014,Mayotte,223713.060784
2014,Normandie,3335645.332534
2014,Nouvelle-Aquitaine,5879144.384756
2014,Occitanie,5730753.365683
2014,Pays de la Loire,3690833.329944
2014,Provence-Alpes-Côte d'Azur,4983438.376875
2014,Île-de-France,12027565.227251
2015,Auvergne-Rhône-Alpes,7877698.326169
2015,Bourgogne-Franche-Comté,2820940.380468
2015,Bretagne,3293850.370926
2015,Centre-Val de Loire,2578592.374802
2015,Corse,327283.382285
2015,Grand Est,5559051.315378
2015,Guadeloupe,397990.289967
2015,Guyane,259865.091004
2015,Hauts-de-France,6009976.285026
2015,La Réunion,850727.173696
2015,Martinique,380877.316736
2015,Mayotte,232189.061346
2015,Normandie,3339131.346701
2015,Nouvelle-Aquitaine,5911482.396658
2015,Occitanie,5774185.376562
2015,Pays de la Loire,3718512.341097
2015,Provence-Alpes-Côte d'Azur,5007977.386134
2015,Île-de-France,12082144.233758
2016,Auvergne-Rhône-Alpes,7916889.335674
2016,Bourgogne-Franche-Comté,2818338.39332
2016,Bretagne,3306529.382034
2016,Centre-Val de Loire,2577866.387626
2016,Corse,330455.390486
2016,Grand Est,5555186.326395
2016,Guadeloupe,394110.303743
2016,Guyane,269352.09401
2016,Hauts-de-France,6006870.29542
2016,La Réunion,852924.182606
2016,Martinique,376480.331761
2016,Mayotte,240987.061364
2016,Normandie,3335929.359867
2016,Nouvelle-Aquitaine,5935603.409072
2016,Occitanie,5808435.387304
2016,Pays de la Loire,3737632.352885
2016,Provence-Alpes-Côte d'Azur,5021928.397171
2016,Île-de-France,12117132.23989
2017,Auvergne-Rhône-Alpes,7948287.344093
2017,Bourgogne-Franche-Comté,2811423.406763
2017,Bretagne,3318904.393262
2017,Centre-Val de Loire,2576252.399488
2017,Corse,334938.401646
2017,Grand Est,5549586.337936
2017,Guadeloupe,390253.320728
2017,Guyane,268700.101916
2017,Hauts-de-France,6003815.305614
2017,La Réunion,853659.19216
2017,Martinique,372594.350852
2017,Mayotte,250143.061328
2017,Normandie,3330478.373324
2017,Nouvelle-Aquitaine,5956978.421261
2017,Occitanie,5845102.397063
2017,Pays de la Loire,3757600.363534
2017,Provence-Alpes-Côte d'Azur,5030890.406884
2017,Île-de-France,12174880.24477
2018,Auvergne-Rhône-Alpes,7994459.351061
2018,Bourgogne-Franche-Comté,2807807.417817
2018,Bretagne,3335414.403374
2018,Centre-Val de Loire,2572853.409158
2018,Corse,338554.410279
2018,Grand Est,5550389.347286
2018,Guadeloupe,387629.33546
2018,Guyane,276128.106823
2018,Hauts-de-France,6004108.315494
2018,La Réunion,855961.201072
2018,Martinique,368783.362367
2018,Mayotte,259621.061246
2018,Normandie,3327477.384022
2018,Nouvelle-Aquitaine,5979778.431513
2018,Occitanie,5885496.405746
2018,Pays de la Loire,3781423.372913
2018,Provence-Alpes-Côte d'Azur,5052832.415577
2018,Île-de-France,12213447.249072
2019,Auvergne-Rhône-Alpes,8042936.357721
2019,Bourgogne-Franche-Comté,2805580.427274
2019,Bretagne,3354854.413031
2019,Centre-Val de Loire,2573180.417845
2019,Corse,340440.42135
2019,Grand Est,5556219.356658
2019,Guadeloupe,384239.350104
2019,Guyane,281678.111058
2019,Hauts-de-France,6004947.324371
2019,La Réunion,861210.21326
2019,Martinique,364508.375971
2019,Mayotte,269579.061172
2019,Normandie,3325032.394351
2019,Nouvelle-Aquitaine,6010289.440852
2019,Occitanie,5933185.413419
2019,Pays de la Loire,3806461.380654
2019,Provence-Alpes-Côte d'Azur,5081101.423441
2019,Île-de-France,12262544.254335
2020,Auvergne-Rhône-Alpes,8078652.364332
2020,Bourgogne-Franche-Comté,2801695.436597
2020,Bretagne,3373835.421213
2020,Centre-Val de Loire,2574863.42677
2020,Corse,343701.429016
2020,Grand Est,5562651.366287
2020,Guadeloupe,383559.366632
2020,Guyane,285133.116273
2020,Hauts-de-France,5997734.332979
2020,La Réunion,863083.224645
2020,Martinique,361225.390331
2020,Mayotte,279696.061117
2020,Normandie,3325522.403264
2020,Nouvelle-Aquitaine,6033952.448677
2020,Occitanie,5973969.420386
2020,Pays de la Loire,3832120.388635
2020,Provence-Alpes-Côte d'Azur,5098666.432213
2020,Île-de-France,12271794.260058
2021,Auvergne-Rhône-Alpes,8114361.367191
2021,Bourgogne-Franche-Comté,2800194.441834
2021,Bretagne,3394567.426708
2021,Centre-Val de Loire,2573303.433342
2021,Corse,347597.438197
2021,Grand Est,5561287.372741
2021,Guadeloupe,384315.376423
2021,Guyane,286618.12059
2021,Hauts-de-France,5995292.33866
2021,La Réunion,871157.233563
2021,Martinique,360749.403253
2021,Mayotte,289039.061075
2021,Normandie,3327966.412019
2021,Nouvelle-Aquitaine,6069352.45528
2021,Occitanie,6022176.424688
2021,Pays de la Loire,3853999.392925
2021,Provence-Alpes-Côte d'Azur,5127840.43586
2021,Île-de-France,12317279.26246
2022,Auvergne-Rhône-Alpes,8163884.370721
2022,Bourgogne-Franche-Comté,2803977.446515
2022,Bretagne,3422845.432548
2022,Centre-Val de Loire,2581597.438061
2022,Corse,351276.442384
2022,Grand Est,5560079.378968
2022,Guadeloupe,383569.393763
2022,Guyane,288382.127818
2022,Hauts-de-France,5998916.344132
2022,La Réunion,881348.244521
2022,Martinique,361019.419181
2022,Mayotte,299634.061363
2022,Normandie,3339074.418784
2022,Nouvelle-Aquitaine,6113384.459634
2022,Occitanie,6080731.42904
2022,Pays de la Loire,3879216.398076
2022,Provence-Alpes-Côte d'Azur,5170312.439178
2022,Île-de-France,12380964.264698
2023,Auvergne-Rhône-Alpes,8196436.374708
2023,Bourgogne-Franche-Comté,2800234.452945
2023,Bretagne,3440248.438984
2023,Centre-Val de Loire,2581716.443425
2023,Corse,354266.448098
2023,Grand Est,5554472.385767
2023,Guadeloupe,382733.409019
2023,Guyane,290110.131724
2023,Hauts-de-France,5990292.35015
2023,La Réunion,886453.254887
2023,Martinique,359202.434943
2023,Mayotte,310199.061159
2023,Normandie,3339522.425661
2023,Nouvelle-Aquitaine,6138814.465208
2023,Occitanie,6121253.433283
2023,Pays de la Loire,3898424.402649
2023,Provence-Alpes-Côte d'Azur,5194349.444564
2023,Île-de-France,12407359.267767
2024,Auvergne-Rhône-Alpes,8228802.379343
2024,Bourgogne-Franche-Comté,2797160.46025
2024,Bretagne,3458588.446474
2024,Centre-Val de Loire,2582015.44966
2024,Corse,357237.452947
2024,Grand Est,5549724.393823
2024,Guadeloupe,381909.429142
2024,Guyane,291774.138336
2024,Hauts-de-France,5982538.357216
2024,La Réunion,892102.267702
2024,Martinique,357590.454387
2024,Mayotte,320282.061108
2024,Normandie,3341043.433306
2024,Nouvelle-Aquitaine,6166602.471393
2024,Occitanie,6162302.438925
2024,Pays de la Loire,3918256.408058
2024,Provence-Alpes-Côte d'Azur,5218341.451349
2024,Île-de-France,12430351.271708
2025,Auvergne-Rhône-Alpes,8260096.384576
2025,Bourgogne-Franche-Comté,2793080.467068
2025,Bretagne,3475895.454268
2025,Centre-Val de Loire,2581479.45576
2025,Corse,360162.460775
2025,Grand Est,5544051.401742
2025,Guadeloupe,380387.447952
2025,Guyane,292354.144432
2025,Hauts-de-France,5973933.364745
2025,La Réunion,896175.27987
2025,Martinique,355459.474681
2025,Mayotte,329282.061152
2025,Normandie,3341312.441369
2025,Nouvelle-Aquitaine,6191209.477928
2025,Occitanie,6201587.44498
2025,Pays de la Loire,3936719.414035
2025,Provence-Alpes-Côte d'Azur,5241587.458643
2025,Île-de-France,12450849.275679
